county_fips,reporting_year,tri_facility_id
17031,2022,60610WTRSV701WE
17043,2022,60101MRGNH701FA
17031,2022,60525PNCXX8400J
17001,2022,62301JMHBR3150G
17201,2022,6111WRCKFR58IND
17031,2022,60411TRLCN900E1
17063,2022,60450QNTMC8805N
17053,2022,6093WNRTHN22NRT
17105,2022,60921NCHLSRT24E
17197,2022,60449STHHL26100
17145,2022,62274GSMTL3764L
17031,2022,60646PRCSN4123W
17031,2022,60005DSPLN1605A
17163,2022,62201GNRLC2500K
17093,2022,6054WMDWST2326E
17111,2022,60014GMMFG400SM
17043,2022,60439SDRGN9700S
17031,2022,60473GBRLT114E1
17043,2022,6017WLCTRF35CHA
17043,2022,60172LCTRF222WC
17097,2022,60085PFNST1219G
17143,2022,61602CSTTC1100S
17017,2022,62618KNTFDHWY12
17111,2022,60013FLXCN165CH
17201,2022,61109KNTFD1612S
17031,2022,60623MYRST2000S
17007,2022,61016PSNCM666US
17031,2022,60130DRCNC7400W
17201,2022,61104TSTRC440BL
17031,2022,60007MPLNC925ES
17201,2022,61111PRGRS922LA
17119,2022,62040PRCTM25NOR
17119,2022,62040MDWST9KONZ
17085,2022,6102WTSSND16677
17097,2022,60044HLPRC601NS
17089,2022,60174SWFTC410KI
17197,2022,6041WDVRSF24338
17043,2022,60185BLKML1600P
17177,2022,61032MDRNP701SH
17187,2022,61401HTCNT1721U
17197,2022,60401HRNDS30553
17103,2022,61021LLDLC1088C
17119,2022,62002LCLDSCUTST
17051,2022,6283WSSRTH11WWA
17189,2022,62263GRWMR17815
17063,2022,60450KZCHMTABLE
17043,2022,60188BNNRS494EL
17031,2022,60425DBRCH333W1
17163,2022,62223RHWST1501W
17195,2022,61252GRKNG18246
17089,2022,6012WLGNND11JAN
17025,2022,62839NRTHM20IND
17029,2022,6193WNRTHM351JU
17045,2022,61944NRTHM2277S
17179,2022,6155WWNPKH1821R
17043,2022,60188RGRSC171WS
17201,2022,61103DNFDS1126K
17161,2022,6120WRLCXX29295
17161,2022,61201RCKSL1321S
17099,2022,61301LLNSCLIBER
17099,2022,6136WNVBFL614SH
17031,2022,60131NTDRF3700N
17031,2022,60062MJRRF455AC
17101,2022,62439TMTVT100TR
17031,2022,60411CTDFL500ST
17201,2022,61109DMNDH3691P
17143,2022,61607SRFRC2416S
17031,2022,60007PRFNS2200E
17201,2022,6111WWDWRDNEWDW
17163,2022,62202CHMTC3500M
17031,2022,60633WLDDT1855E
17195,2022,6107WFHGRP33EAS
17197,2022,6044WJRNBR455GI
17097,2022,6004WMRGNB34EAS
17197,2022,60439NCLCH317WE
17019,2022,61866GLWNG400SH
17179,2022,6157WBTDMN118MU
17031,2022,60090SNNYS225CA
17007,2022,61008TPTTP826EA
17037,2022,6011WNFDWR338WU
17043,2022,6014WKSTRN94WTH
17031,2022,60153LKYMN2700S
17099,2022,6134WMRSLL17ARM
17037,2022,60115NHRNG813EL
17141,2022,61061BRDNNWHITE
17141,2022,6106WFRGGR14SMA
17031,2022,6016WNVRTC18N25
17063,2022,60450RCHHLCOLLI
17043,2022,6018WHRTHS72CEN
17031,2022,60638THSTH7201W
17139,2022,6195WBRDRT91WJE
17031,2022,60658FRSTB13160
17145,2022,62832LLNSM1135I
17031,2022,60638MTLMT72SNA
17043,2022,60106CRCMN55WMA
17119,2022,62048CLRKLHAWTH
17031,2022,60018WSTGR1855S
17019,2022,61802MLSCT705EU
17203,2022,61742DMXXXPOBOX
17031,2022,60411CHCGH211EM
17111,2022,60152RNLDN300WE
17089,2022,60134JHNSN300SO
17043,2022,6018WBNRPL15ATL
17037,2022,60178SYMRF917CR
17091,2022,60901NCLCH1400H
17111,2022,60072HNTSM5015B
17097,2022,60002VHCLM151SR
17043,2022,6018WDSCNT25ENT
17089,2022,6051WDSCNT1789H
17179,2022,61550PRCLC1651N
17089,2022,60510DTPCK1500P
17089,2022,60538WLLMF1200S
17031,2022,60411CMBST333ST
17031,2022,60803DBRTC1271S
17111,2022,60071SRGPT5205R
17095,2022,61401KPPRSHIGHW
17097,2022,60085CSMDF1160N
17043,2022,6018WNHNCX1733D
17019,2022,61802GRDNW601GU
