# Source: U.S. Census Bureau, CPS ASEC, Table H-5 "Race and Hispanic Origin of
# Householder--Households by Median and Mean Income: 1967 to 2024", median
# income in 2024 constant dollars.
# https://www2.census.gov/programs-surveys/cps/tables/time-series/historical-income-households/h05.xlsx
# White NH series only goes back to 1972 in the source table (real gap before
# that -- the older "White" (not NH-restricted) series is a different metric
# and not substituted in here).
Year,Race,MetricId,MedianIncome2024Dollars
1979,Black Alone,census-h5-median-hh-income-black-nation,38250
1979,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,66070
1978,Black Alone,census-h5-median-hh-income-black-nation,38890
1978,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,65940
1977,Black Alone,census-h5-median-hh-income-black-nation,37180
1977,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,64260
1976,Black Alone,census-h5-median-hh-income-black-nation,37150
1976,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,63740
1975,Black Alone,census-h5-median-hh-income-black-nation,36810
1975,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,61780
1974,Black Alone,census-h5-median-hh-income-black-nation,37490
1974,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,63570
1973,Black Alone,census-h5-median-hh-income-black-nation,38340
1973,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,65700
1972,Black Alone,census-h5-median-hh-income-black-nation,37250
1972,White Alone Not Hispanic,census-h5-median-hh-income-white-nh-nation,64730
1971,Black Alone,census-h5-median-hh-income-black-nation,36160
1970,Black Alone,census-h5-median-hh-income-black-nation,37430
1969,Black Alone,census-h5-median-hh-income-black-nation,37520
1968,Black Alone,census-h5-median-hh-income-black-nation,35130
1967,Black Alone,census-h5-median-hh-income-black-nation,33230
