category_id,project_id,value,year,quarter,unit_of_measurement,cat,project,city,state
72,2466,2333,1962,December,families,non-white families,hyde park-kenwood,chicago,il
73,2466,111.6,1962,December,acres,proposed reuse of project land- total,hyde park-kenwood,chicago,il
69,2473,836,1962,December,dwelling units,dwelling units- sub-standard,michael reese hospital,chicago,il
70,2473,80,1962,December,dwelling units,dwelling units- standard,michael reese hospital,chicago,il
72,2473,825,1962,December,families,non-white families,michael reese hospital,chicago,il
73,2473,55.1,1962,December,acres,proposed reuse of project land- total,michael reese hospital,chicago,il
69,2474,741,1962,December,dwelling units,dwelling units- sub-standard,near west side,chicago,il
70,2474,702,1962,December,dwelling units,dwelling units- standard,near west side,chicago,il
72,2474,126,1962,December,families,non-white families,near west side,chicago,il
73,2474,54.3,1962,December,acres,proposed reuse of project land- total,near west side,chicago,il
69,2461,420,1963,December,dwelling units,dwelling units- sub-standard,englewood,chicago,il
70,2461,234,1963,December,dwelling units,dwelling units- standard,englewood,chicago,il
72,2461,500,1963,December,families,non-white families,englewood,chicago,il
69,2466,4199,1963,December,dwelling units,dwelling units- sub-standard,hyde park-kenwood,chicago,il
70,2466,1742,1963,December,dwelling units,dwelling units- standard,hyde park-kenwood,chicago,il
72,2466,2333,1963,December,families,non-white families,hyde park-kenwood,chicago,il
73,2466,111.6,1963,December,acres,proposed reuse of project land- total,hyde park-kenwood,chicago,il
69,2473,835,1963,December,dwelling units,dwelling units- sub-standard,michael reese hospital,chicago,il
70,2473,80,1963,December,dwelling units,dwelling units- standard,michael reese hospital,chicago,il
72,2473,825,1963,December,families,non-white families,michael reese hospital,chicago,il
73,2473,55.1,1963,December,acres,proposed reuse of project land- total,michael reese hospital,chicago,il
69,2474,741,1963,December,dwelling units,dwelling units- sub-standard,near west side,chicago,il
70,2474,702,1963,December,dwelling units,dwelling units- standard,near west side,chicago,il
72,2474,126,1963,December,families,non-white families,near west side,chicago,il
73,2474,54.3,1963,December,acres,proposed reuse of project land- total,near west side,chicago,il
69,2457,407,1964,December,dwelling units,dwelling units- sub-standard,central englewood,chicago,il
70,2457,208,1964,December,dwelling units,dwelling units- standard,central englewood,chicago,il
72,2457,448,1964,December,families,non-white families,central englewood,chicago,il
73,2457,54.8,1964,December,acres,proposed reuse of project land- total,central englewood,chicago,il
69,2461,420,1964,December,dwelling units,dwelling units- sub-standard,englewood,chicago,il
70,2461,234,1964,December,dwelling units,dwelling units- standard,englewood,chicago,il
72,2461,500,1964,December,families,non-white families,englewood,chicago,il
69,2466,5940,1964,December,dwelling units,dwelling units- sub-standard,hyde park-kenwood,chicago,il
72,2466,2333,1964,December,families,non-white families,hyde park-kenwood,chicago,il
73,2466,111.9,1964,December,acres,proposed reuse of project land- total,hyde park-kenwood,chicago,il
69,2473,836,1964,December,dwelling units,dwelling units- sub-standard,michael reese hospital,chicago,il
70,2473,80,1964,December,dwelling units,dwelling units- standard,michael reese hospital,chicago,il
72,2473,825,1964,December,families,non-white families,michael reese hospital,chicago,il
73,2473,55.1,1964,December,acres,proposed reuse of project land- total,michael reese hospital,chicago,il
69,2474,741,1964,December,dwelling units,dwelling units- sub-standard,near west side,chicago,il
70,2474,702,1964,December,dwelling units,dwelling units- standard,near west side,chicago,il
72,2474,126,1964,December,families,non-white families,near west side,chicago,il
73,2474,54.3,1964,December,acres,proposed reuse of project land- total,near west side,chicago,il
69,2457,407,1966,June,dwelling units,dwelling units- sub-standard,central englewood,chicago,il
70,2457,208,1966,June,dwelling units,dwelling units- standard,central englewood,chicago,il
72,2457,448,1966,June,families,non-white families,central englewood,chicago,il
73,2457,54.8,1966,June,acres,proposed reuse of project land- total,central englewood,chicago,il
69,2461,420,1966,June,dwelling units,dwelling units- sub-standard,englewood,chicago,il
70,2461,234,1966,June,dwelling units,dwelling units- standard,englewood,chicago,il
72,2461,500,1966,June,families,non-white families,englewood,chicago,il
69,2466,5940,1966,June,dwelling units,dwelling units- sub-standard,hyde park-kenwood,chicago,il
72,2466,2333,1966,June,families,non-white families,hyde park-kenwood,chicago,il
73,2466,112.7,1966,June,acres,proposed reuse of project land- total,hyde park-kenwood,chicago,il
69,2473,836,1966,June,dwelling units,dwelling units- sub-standard,michael reese hospital,chicago,il
70,2473,80,1966,June,dwelling units,dwelling units- standard,michael reese hospital,chicago,il
72,2473,825,1966,June,families,non-white families,michael reese hospital,chicago,il
73,2473,55.1,1966,June,acres,proposed reuse of project land- total,michael reese hospital,chicago,il
69,2474,741,1966,June,dwelling units,dwelling units- sub-standard,near west side,chicago,il
70,2474,702,1966,June,dwelling units,dwelling units- standard,near west side,chicago,il
72,2474,126,1966,June,families,non-white families,near west side,chicago,il
73,2474,54.3,1966,June,acres,proposed reuse of project land- total,near west side,chicago,il
