GEOID,RPL_EBM
17089852606,0.8038
17089853601,0.5003
17091012000,0.6687
17091012200,0.6001
17093890301,0.6314
17093890702,0.0687
17095000700,0.5543
17097860906,0.4332
17097861105,0.583
17097861403,0.3504
17097862000,0.8439
17097862300,0.9936
17097862901,0.9417
17097863801,0.7512
17097863903,0.5459
17097864002,0.6891
17099961800,0.4152
17099962000,0.5974
17101880800,0.563
17103000200,0.7127
17103000400,0.5658
17089851302,0.64
17089851801,0.8687
17089852001,0.8295
17089852103,0.668
17089852204,0.2602
17043846405,0.8174
17049950800,0.7762
17057953000,0.356
17097863400,0.3165
17097864522,0.4284
17097864523,0.7046
17099962100,0.8693
17099962600,0.9414
17101880900,0.1975
17107953100,0.8192
17109010100,0.3997
17109010600,0.4024
17111870106,0.2013
17111871004,0.6105
17113000105,0.2065
17113001107,0.2074
17115002602,0.3783
17115002904,0.486
17117956900,0.1815
17119400600,0.9792
17119402400,0.8936
17119402900,0.3565
17119403121,0.1554
17127970200,0.8258
17139977100,0.4705
17141961700,0.5298
17143000300,0.7691
17031816200,0.9213
17031817102,0.8542
17031818402,0.8687
17031820700,0.9411
17031823903,0.736
17031650301,0.9592
17031660600,0.8612
17031670700,0.7295
17031680900,0.7383
17031690900,0.7425
17031691200,0.8595
17031720100,0.6563
17031720400,0.503
17031750400,0.4954
17031770902,0.5375
17161021200,0.4773
17163502603,0.9902
17163503101,0.629
17197880303,0.065
17197880305,0.0465
17197880326,0.4078
17197880107,0.2773
17197880118,0.2579
17197880315,0.1526
17161020102,0.4388
17161021100,0.6563
17161023000,0.5732
17161023200,0.6844
17161024400,0.7168
17163501400,0.4753
17163502602,0.9727
17163503413,0.1857
17167000202,0.5533
17167002200,0.4082
17167003203,0.3384
17167004000,0.3904
17179020700,0.3952
17179021203,0.1341
17183010300,0.581
17185957500,0.6681
17189950100,0.4484
17195001000,0.6755
17197880125,0.8253
17197880309,0.0827
17197880320,0.3079
17197880424,0.2218
17197880427,0.6963
17197882000,0.67
17031292400,0.9665
17031320400,0.9031
17031330102,0.7256
17031340400,0.8159
17031360200,0.5996
17031430500,0.6182
17031440900,0.8947
17031450300,0.7522
17197881603,0.369
17197883218,0.2126
17197883306,0.9309
17031061200,0.7095
17031070500,0.9277
17031071000,0.8639
17031080201,0.8804
17031081202,0.9613
17031081300,0.9789
17031090300,0.7298
17031130100,0.7114
17031150700,0.7911
17075950200,0.2845
17081050200,0.2332
17083010402,0.2649
17085020101,0.0786
17085020401,0.4708
17085020500,0.2038
17087977800,0.4292
17089850705,0.3869
17089850708,0.3007
17089851500,0.7081
17089851600,0.7358
