# Normalized state race totals, 1790-1990 — parse target for censusStateDecades.
#
# SOURCE (public domain, 17 U.S.C. §105):
#   U.S. Census Bureau, Population Division Working Paper No. 56 (twps0056),
#   Gibson & Jung (2002), Tables 15–65 (one sheet per state / D.C.).
#   Landing page: https://www.census.gov/library/working-papers/2002/demo/POP-twps0056.html
#   Machine artifact: https://www2.census.gov/library/working-papers/2002/demo/pop-twps0056/tabs15-65.xlsx
#
# DERIVATION: NUMBER block, first main decade row only (skip Sample / 15% / 5% subrows).
#   Not every state appears every decade (admission / coverage). Free/Slave columns only when
#   they reconstitute Black within ±5. State Black sums per decade equal the committed national
#   CSV exactly (validated by packages/firebase/scripts/derive-twps0056-state.py).
#
# Columns: stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
11,District of Columbia,1940,663091,187266,,
11,District of Columbia,1950,802178,280803,,
11,District of Columbia,1960,763956,411737,,
11,District of Columbia,1970,756510,537712,,
11,District of Columbia,1980,638333,448906,,
11,District of Columbia,1990,606900,399604,,
12,Florida,1830,34730,16345,844,15501
12,Florida,1840,54477,26534,817,25717
12,Florida,1850,87445,40242,932,39310
12,Florida,1860,140424,62677,932,61745
12,Florida,1870,187748,91689,,
12,Florida,1880,269493,126690,,
12,Florida,1890,391422,166180,,
12,Florida,1900,528542,230730,,
12,Florida,1910,752619,308669,,
12,Florida,1920,968470,329487,,
12,Florida,1930,1468211,431828,,
12,Florida,1940,1897414,514198,,
12,Florida,1950,2771305,603101,,
12,Florida,1960,4951560,880186,,
12,Florida,1970,6789443,1041651,,
12,Florida,1980,9746324,1342688,,
12,Florida,1990,12937926,1759534,,
13,Georgia,1790,82548,29662,398,29264
13,Georgia,1800,162686,60425,1019,59406
13,Georgia,1810,251407,106957,1799,105158
13,Georgia,1820,340989,151419,1763,149656
13,Georgia,1830,516823,220017,2486,217531
13,Georgia,1840,691392,283697,2753,280944
13,Georgia,1850,906185,384613,2931,381682
13,Georgia,1860,1057286,465698,3500,462198
13,Georgia,1870,1184109,545142,,
13,Georgia,1880,1542180,725133,,
13,Georgia,1890,1837353,858815,,
13,Georgia,1900,2216331,1034813,,
13,Georgia,1910,2609121,1176987,,
13,Georgia,1920,2895832,1206365,,
13,Georgia,1930,2908506,1071125,,
13,Georgia,1940,3123723,1084927,,
13,Georgia,1950,3444578,1062762,,
13,Georgia,1960,3943116,1122596,,
13,Georgia,1970,4589575,1187149,,
13,Georgia,1980,5463105,1465181,,
13,Georgia,1990,6478216,1746565,,
15,Hawaii,1960,632772,4943,,
15,Hawaii,1970,768561,7573,,
15,Hawaii,1980,964691,17364,,
15,Hawaii,1990,1108229,27195,,
16,Idaho,1870,14999,60,,
16,Idaho,1880,32610,53,,
16,Idaho,1890,88548,201,,
16,Idaho,1900,161772,293,,
16,Idaho,1910,325594,651,,
16,Idaho,1920,431866,920,,
16,Idaho,1930,445032,668,,
16,Idaho,1940,524873,595,,
16,Idaho,1950,588637,1050,,
16,Idaho,1960,667191,1502,,
16,Idaho,1970,712567,2130,,
16,Idaho,1980,943935,2716,,
16,Idaho,1990,1006749,3370,,
17,Illinois,1800,2458,183,76,107
17,Illinois,1810,12282,781,613,168
17,Illinois,1820,55211,1374,457,917
17,Illinois,1830,157445,2384,1637,747
17,Illinois,1840,476183,3929,3598,331
17,Illinois,1850,851470,5436,,
17,Illinois,1860,1711951,7628,,
17,Illinois,1870,2539891,28762,,
17,Illinois,1880,3077871,46368,,
17,Illinois,1890,3826352,57028,,
17,Illinois,1900,4821550,85078,,
17,Illinois,1910,5638591,109049,,
17,Illinois,1920,6485280,182274,,
17,Illinois,1930,7630654,328972,,
17,Illinois,1940,7897241,387446,,
17,Illinois,1950,8712176,645980,,
17,Illinois,1960,10081158,1037470,,
17,Illinois,1970,11113976,1425674,,
17,Illinois,1980,11426518,1675398,,
17,Illinois,1990,11430602,1694273,,
18,Indiana,1800,2632,115,87,28
18,Indiana,1810,24520,630,393,237
