# Normalized state race totals, 1790-1990 — parse target for censusStateDecades.
#
# SOURCE (public domain, 17 U.S.C. §105):
#   U.S. Census Bureau, Population Division Working Paper No. 56 (twps0056),
#   Gibson & Jung (2002), Tables 15–65 (one sheet per state / D.C.).
#   Landing page: https://www.census.gov/library/working-papers/2002/demo/POP-twps0056.html
#   Machine artifact: https://www2.census.gov/library/working-papers/2002/demo/pop-twps0056/tabs15-65.xlsx
#
# DERIVATION: NUMBER block, first main decade row only (skip Sample / 15% / 5% subrows).
#   Not every state appears every decade (admission / coverage). Free/Slave columns only when
#   they reconstitute Black within ±5. State Black sums per decade equal the committed national
#   CSV exactly (validated by packages/firebase/scripts/derive-twps0056-state.py).
#
# Columns: stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
39,Ohio,1850,1980329,25279,,
39,Ohio,1860,2339511,36673,,
39,Ohio,1870,2665260,63213,,
39,Ohio,1880,3198062,79900,,
39,Ohio,1890,3672329,87113,,
39,Ohio,1900,4157545,96901,,
39,Ohio,1910,4767121,111452,,
39,Ohio,1920,5759394,186187,,
39,Ohio,1930,6646697,309304,,
39,Ohio,1940,6907612,339461,,
39,Ohio,1950,7946627,513072,,
39,Ohio,1960,9706397,786097,,
39,Ohio,1970,10652017,970477,,
39,Ohio,1980,10797630,1076748,,
39,Ohio,1990,10847115,1154826,,
40,Oklahoma,1890,258657,21609,,
40,Oklahoma,1900,790391,55684,,
40,Oklahoma,1910,1657155,137612,,
40,Oklahoma,1920,2028283,149408,,
40,Oklahoma,1930,2396040,172198,,
40,Oklahoma,1940,2336434,168849,,
40,Oklahoma,1950,2233351,145503,,
40,Oklahoma,1960,2328284,153084,,
40,Oklahoma,1970,2559229,171892,,
40,Oklahoma,1980,3025290,204674,,
40,Oklahoma,1990,3145585,233801,,
41,Oregon,1850,12093,55,,
41,Oregon,1860,52465,128,,
41,Oregon,1870,90923,346,,
41,Oregon,1880,174768,487,,
41,Oregon,1890,317704,1186,,
41,Oregon,1900,413536,1105,,
41,Oregon,1910,672765,1492,,
41,Oregon,1920,783389,2144,,
41,Oregon,1930,953786,2234,,
41,Oregon,1940,1089684,2565,,
41,Oregon,1950,1521341,11529,,
41,Oregon,1960,1768687,18133,,
41,Oregon,1970,2091385,26308,,
41,Oregon,1980,2633105,37060,,
41,Oregon,1990,2842321,46178,,
42,Pennsylvania,1790,434373,10274,6537,3737
42,Pennsylvania,1800,602365,16270,14564,1706
42,Pennsylvania,1810,810091,23287,22492,795
42,Pennsylvania,1820,1049458,30413,30202,211
42,Pennsylvania,1830,1348233,38333,37930,403
42,Pennsylvania,1840,1724033,47918,47854,64
42,Pennsylvania,1850,2311786,53626,,
42,Pennsylvania,1860,2906215,56949,,
42,Pennsylvania,1870,3521951,65294,,
42,Pennsylvania,1880,4282891,85535,,
42,Pennsylvania,1890,5258113,107596,,
42,Pennsylvania,1900,6302115,156845,,
42,Pennsylvania,1910,7665111,193919,,
42,Pennsylvania,1920,8720017,284568,,
42,Pennsylvania,1930,9631350,431257,,
42,Pennsylvania,1940,9900180,470172,,
42,Pennsylvania,1950,10498012,638485,,
42,Pennsylvania,1960,11319366,852750,,
42,Pennsylvania,1970,11793909,1016514,,
42,Pennsylvania,1980,11863895,1046810,,
42,Pennsylvania,1990,11881643,1089795,,
44,Rhode Island,1790,68825,4355,3407,948
44,Rhode Island,1800,69122,3684,3304,380
44,Rhode Island,1810,76931,3717,3609,108
44,Rhode Island,1820,83059,3602,3554,48
44,Rhode Island,1830,97199,3578,3561,17
44,Rhode Island,1840,108830,3243,3238,5
44,Rhode Island,1850,147545,3670,,
44,Rhode Island,1860,174620,3952,,
44,Rhode Island,1870,217353,4980,,
44,Rhode Island,1880,276531,6488,,
44,Rhode Island,1890,345506,7393,,
44,Rhode Island,1900,428556,9092,,
44,Rhode Island,1910,542610,9529,,
44,Rhode Island,1920,604397,10036,,
44,Rhode Island,1930,687497,9913,,
44,Rhode Island,1940,713346,11024,,
44,Rhode Island,1950,791896,13903,,
44,Rhode Island,1960,859488,18332,,
44,Rhode Island,1970,946725,25338,,
44,Rhode Island,1980,947154,27584,,
44,Rhode Island,1990,1003464,38861,,
45,South Carolina,1790,249073,108895,1801,107094
45,South Carolina,1800,345591,149336,3185,146151
45,South Carolina,1810,415115,200919,4554,196365
45,South Carolina,1820,502741,265301,6826,258475
45,South Carolina,1830,581185,323322,7921,315401
45,South Carolina,1840,594398,335314,8276,327038
45,South Carolina,1850,668507,393944,8960,384984
45,South Carolina,1860,703708,412320,9914,402406
45,South Carolina,1870,705606,415814,,
45,South Carolina,1880,995577,604332,,
45,South Carolina,1890,1151149,688934,,
45,South Carolina,1900,1340316,782321,,
45,South Carolina,1910,1515400,835843,,
45,South Carolina,1920,1683724,864719,,
45,South Carolina,1930,1738765,793681,,
45,South Carolina,1940,1899804,814164,,
45,South Carolina,1950,2117027,822077,,
45,South Carolina,1960,2382594,829291,,
45,South Carolina,1970,2590516,789041,,
45,South Carolina,1980,3121820,948623,,
45,South Carolina,1990,3486703,1039884,,
46,South Dakota,1870,11776,70,,
46,South Dakota,1880,98268,288,,
46,South Dakota,1890,348600,541,,
46,South Dakota,1900,401570,465,,
46,South Dakota,1910,583888,817,,
46,South Dakota,1920,636547,832,,
46,South Dakota,1930,692849,646,,
46,South Dakota,1940,642961,474,,
46,South Dakota,1950,652740,727,,
46,South Dakota,1960,680514,1114,,
46,South Dakota,1970,665507,1627,,
46,South Dakota,1980,690768,2144,,
46,South Dakota,1990,696004,3258,,
47,Tennessee,1790,35691,3778,361,3417
47,Tennessee,1800,105602,13893,309,13584
47,Tennessee,1810,261727,45852,1317,44535
47,Tennessee,1820,422823,82844,2737,80107
47,Tennessee,1830,681904,146158,4555,141603
47,Tennessee,1840,829210,188583,5524,183059
47,Tennessee,1850,1002717,245881,6422,239459
47,Tennessee,1860,1109801,283019,7300,275719
47,Tennessee,1870,1258520,322331,,
47,Tennessee,1880,1542359,403151,,
47,Tennessee,1890,1767518,430678,,
47,Tennessee,1900,2020616,480243,,
47,Tennessee,1910,2184789,473088,,
47,Tennessee,1920,2337885,451758,,
47,Tennessee,1930,2616556,477646,,
47,Tennessee,1940,2915841,508736,,
47,Tennessee,1950,3291718,530603,,
47,Tennessee,1960,3567089,586876,,
47,Tennessee,1970,3923687,621261,,
47,Tennessee,1980,4591120,725942,,
47,Tennessee,1990,4877185,778035,,
48,Texas,1850,212592,58558,397,58161
48,Texas,1860,604215,182921,355,182566
48,Texas,1870,818579,253475,,
48,Texas,1880,1591749,393384,,
48,Texas,1890,2235527,488171,,
48,Texas,1900,3048710,620722,,
48,Texas,1910,3896542,690049,,
48,Texas,1920,4663228,741694,,
48,Texas,1930,5824715,854964,,
48,Texas,1940,6414824,924391,,
48,Texas,1950,7711194,977458,,
48,Texas,1960,9579677,1187125,,
48,Texas,1970,11196730,1399005,,
48,Texas,1980,14229191,1710175,,
48,Texas,1990,16986510,2021632,,
49,Utah,1850,11380,50,24,26
49,Utah,1860,40273,59,30,29
49,Utah,1870,86336,118,,
49,Utah,1880,143963,232,,
49,Utah,1890,210779,588,,
49,Utah,1900,276749,672,,
49,Utah,1910,373351,1144,,
49,Utah,1920,449396,1446,,
49,Utah,1930,507847,1108,,
49,Utah,1940,550310,1235,,
49,Utah,1950,688862,2729,,
49,Utah,1960,890627,4148,,
49,Utah,1970,1059273,6617,,
49,Utah,1980,1461037,9225,,
49,Utah,1990,1722850,11576,,
50,Vermont,1790,85425,271,,
50,Vermont,1800,154465,557,,
50,Vermont,1810,217895,750,,
50,Vermont,1820,235981,903,,
50,Vermont,1830,280652,881,,
50,Vermont,1840,291948,730,,
50,Vermont,1850,314120,718,,
50,Vermont,1860,315098,709,,
50,Vermont,1870,330551,924,,
50,Vermont,1880,332286,1057,,
50,Vermont,1890,332422,937,,
50,Vermont,1900,343641,826,,
50,Vermont,1910,355956,1621,,
50,Vermont,1920,352428,572,,
50,Vermont,1930,359611,568,,
50,Vermont,1940,359231,384,,
50,Vermont,1950,377747,443,,
50,Vermont,1960,389881,519,,
50,Vermont,1970,444330,761,,
50,Vermont,1980,511456,1135,,
50,Vermont,1990,562758,1951,,
51,Virginia,1790,691737,300213,12254,287959
51,Virginia,1800,807557,359777,19981,339796
51,Virginia,1810,877683,413790,30269,383521
51,Virginia,1820,938261,448646,36760,411886
51,Virginia,1830,1044054,500427,46729,453698
51,Virginia,1840,1025227,480544,48671,431873
51,Virginia,1850,1119348,503279,51251,452028
51,Virginia,1860,1219630,527763,55269,472494
51,Virginia,1870,1225163,512841,,
51,Virginia,1880,1512565,631616,,
51,Virginia,1890,1655980,635438,,
51,Virginia,1900,1854184,660722,,
51,Virginia,1910,2061612,671096,,
51,Virginia,1920,2309187,690017,,
51,Virginia,1930,2421851,650165,,
51,Virginia,1940,2677773,661449,,
51,Virginia,1950,3318680,734211,,
51,Virginia,1960,3966949,816258,,
51,Virginia,1970,4648494,861368,,
51,Virginia,1980,5346818,1008668,,
51,Virginia,1990,6187358,1162994,,
53,Washington,1850,1201,152,,
53,Washington,1860,11594,30,,
53,Washington,1870,23955,207,,
53,Washington,1880,75116,325,,
53,Washington,1890,357232,1602,,
53,Washington,1900,518103,2514,,
53,Washington,1910,1141990,6058,,
53,Washington,1920,1356621,6883,,
53,Washington,1930,1563396,6840,,
53,Washington,1940,1736191,7424,,
53,Washington,1950,2378963,30691,,
53,Washington,1960,2853214,48738,,
53,Washington,1970,3409169,71308,,
53,Washington,1980,4132156,105574,,
53,Washington,1990,4866692,149801,,
54,West Virginia,1790,55873,5280,612,4668
54,West Virginia,1800,78592,7698,526,7172
54,West Virginia,1810,105469,12114,1278,10836
54,West Virginia,1820,136808,16532,1413,15119
54,West Virginia,1830,176924,19840,2167,17673
54,West Virginia,1840,224537,21521,3033,18488
54,West Virginia,1850,302313,23582,3082,20500
54,West Virginia,1860,376688,21144,2773,18371
54,West Virginia,1870,442014,17980,,
54,West Virginia,1880,618457,25886,,
54,West Virginia,1890,762794,32690,,
54,West Virginia,1900,958800,43499,,
54,West Virginia,1910,1221119,64173,,
54,West Virginia,1920,1463701,86345,,
54,West Virginia,1930,1729205,114893,,
54,West Virginia,1940,1901974,117754,,
54,West Virginia,1950,2005552,114867,,
54,West Virginia,1960,1860421,89378,,
54,West Virginia,1970,1744237,67342,,
54,West Virginia,1980,1949644,65051,,
54,West Virginia,1990,1793477,56295,,
55,Wisconsin,1820,1444,17,,
55,Wisconsin,1830,3635,64,33,31
55,Wisconsin,1840,30945,196,185,11
55,Wisconsin,1850,305391,635,,
55,Wisconsin,1860,775881,1171,,
55,Wisconsin,1870,1054670,2113,,
55,Wisconsin,1880,1315497,2702,,
55,Wisconsin,1890,1693330,2444,,
55,Wisconsin,1900,2069042,2542,,
55,Wisconsin,1910,2333860,2900,,
55,Wisconsin,1920,2632067,5201,,
55,Wisconsin,1930,2939006,10739,,
55,Wisconsin,1940,3137587,12158,,
55,Wisconsin,1950,3434575,28182,,
55,Wisconsin,1960,3951777,74546,,
55,Wisconsin,1970,4417731,128224,,
55,Wisconsin,1980,4705767,182592,,
55,Wisconsin,1990,4891769,244539,,
56,Wyoming,1870,9118,183,,
56,Wyoming,1880,20789,298,,
56,Wyoming,1890,62555,922,,
56,Wyoming,1900,92531,940,,
56,Wyoming,1910,145965,2235,,
56,Wyoming,1920,194402,1375,,
56,Wyoming,1930,225565,1250,,
56,Wyoming,1940,250742,956,,
56,Wyoming,1950,290529,2557,,
56,Wyoming,1960,330066,2183,,
56,Wyoming,1970,332416,2568,,
56,Wyoming,1980,469557,3364,,
56,Wyoming,1990,453588,3606,,
